ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
hYDRTmXKKto,Babay Se Dosti Toot Gai ? 💔 | Humari Zindagi Ki Pehli Larai 😭,,-,public,-,,76.80688517218316,2546999,304K,5.5K,0,0,4,4
Rx19IZ8MZRg,Ghar Par Chori Ho Gai 😱 | Daku Sab Kuch Le Geya 😭 | 25 Lac Rupees Ka Nuqsaan Ho Geya 💔,,-,public,-,,80.81670400666398,3216306,199K,0,0,0,6,3
9hPqBPgv5Hg,Aroob Ke Liye Surprise 😍 | Poora Saloon Book Kar Liya 🥳 | America Ka Visa Aa Gaya ❤️,,-,public,-,,80.21805479740499,2800831,154K,0,0,0,7,3
pvpktIkNbyk,Agla International Trip Kahan Jaa Raha Hai ? 😍 | Urgent Flight Catch Karni Pari 😱,,-,public,-,,85.33576202626907,1923628,130K,5.1K,0,0,7,3
e-8L6Gc-S_g,Mera Accident Ho Geya 😱 | Fake Accident Prank On Aroob & Susral (Gone Wrong) 😭,,-,public,-,,79.55954986986427,3207370,201K,7.3K,0,0,7,3
xH30JivErFc,Aroob Ghar Ke Bahar Lock Ho Gai 😱 | Koi Bhi Mere Se Baat Nahi Kar Raha 💔😭,,-,public,-,,63.028104080076915,2110814,137K,0,0,0,8,3
JMbvhIEP4HA,Babay Ko Larki Ke Sath Pakar Liya 😱 | Meri Gari Le Kar Bhag Gaya 😡,,-,public,-,,64.24559591407004,2796515,168K,4.5K,0,0,3,3
Kt0Uh9vMEm8,Aroob Ne Mere Sath Scam Kar Diya 😭 | Dhokebaaz Nikli 😱 | Challenge Karne Se Mana Kar Diya 😡,,-,public,-,,78.26450351490908,2377934,146K,0,0,0,5,3
Xb_pvujKCPE,Baby Shippu Ki Mama Ka Aakhri Din 💔 | Bechara Akela Ho Gaya 😭,,-,public,-,,62.38632605321401,1819918,123K,4.4K,0,0,9,3
e3HgOUV1tKQ,Aroob Ke Bhai Se Larai Ho Gai 😡 | Susral Wale Pareshan Ho Gaye 😱,,-,public,-,,79.89533231337077,3466112,187K,0,0,0,6,3
uy_Y1mX1ja8,Ending My Fight With Rajab ❤️🤝🏻 | Ducky Bhai Army Aur Rajab’s Family Ki Dosti Ho Gai 🔥,,-,public,-,,86.25807512757879,4111781,231K,0,0,0,6,3
M7i-4gjb1To,Rajab Butt Ki Gari Chori Karli 😱 | We Took Our Revenge On Rajab’s Family 🔥,,-,public,-,,84.09441976530982,4572598,239K,29K,0,0,6,3
wSm0G3tpiho,Saying Yes To Aroob For 24 Hours 😱 | Aroob Ne Saray Badlay Le Liye 🤣,,-,public,-,,92.4003423,4249184,245K,0,0,0,8,3
YBTzB8xHIYI,Fight Ke Baad Hospital Jana Para 😭 | Sara Plan Change Karna Para 😡,,-,public,-,,77.26725874211336,2832854,154K,10K,0,0,7,3
V4ufgOMsG4Y,Rajab Butt Se Larai Ho Gai 😡 | Muneeb Ko Rescue Kar Liya 😱 | Face To Face With Rajab’s Family 🔥,,-,public,-,,95.65921378695681,6964491,304K,40K,0,0,6,2
q8bWGqfloEk,Rajab Butt Kidnapped My Brother 😱 | My Response to Threats by Rajab’s Family 😡,,-,public,-,,85.78900918036318,5073002,252K,14K,0,0,7,3
yoQA7-_B3yc,Mene Aroob Ko Dhoka De Diya ? 😭 | Ducky Bhai Army Ka Crazy Talent 😍,,-,public,-,,62.91420545051902,2055990,129K,5.2K,0,0,8,3
l_XccvmBi-k,My New Office Room Tour 😍 | Finally Sara Gaming Room Complete Ho Geya ❤️,,-,public,-,,80.10620583500489,2183502,134K,7.4K,0,0,5,3
DIZ4x5LNAY4,Aroob Meri Call Nahi Utha Rahi 😭 | Apne Ghar Se Bahar Nikal Diya 😱,,-,public,-,,76.72301140274264,2498116,254K,0,0,0,9,4
AraiwvJp35M,Duniya Ki Sab Se Luxury Car Chori Karli 😱 | Rolls Royce Chori Karte Hue Pakre Gaye 😭,,-,public,-,,80.78763975437964,3194780,151K,6.6K,0,0,9,2
whkeve7i2N0,Aroob Se Larai Ho Gai 😱 | Ab Ghar Kese Jaoun ? 😭,,-,public,-,,64.11642234316055,2714285,148K,0,0,0,6,3
XUdPm-Dmdhk,Mulk Chor Kar Jana Pare Ga 😭 | Kisi Ko Nahi Bataya 😱,,-,public,-,,63.329535950327525,2263063,139K,0,0,0,7,3
0uA948r7ZjI,Poora Room Tabah Ho Geya 😱 | Sari Mehnat Barbaad Ho Gai 😭,,-,public,-,,75.62132723066172,1936716,111K,0,0,0,3,3
bdTiArhP_Vg,Shadi Se Pehle Girlfriend Kon Thi ?? 🤣 | QnA ❤️,,-,public,-,,65.57652238,3803354,233K,13K,0,0,-,3
P6DfYoSjYZo,Mama Ne Baby Shippu Ko Pakar Liya 😱 | Bohot Maar Pari 😭,,-,public,-,,80.07518168505071,2709883,157K,6K,0,0,12,3
B7tteINFmyA,Aroob Ko Baby Shippu Ka Surprise De Diya 😍🐑 | Mama Ko Shak Ho Geya 😱,,-,public,-,,79.02927731,2128144,123K,0,0,0,6,3
Kbh16cC6BFk,Baby Shippu Aa Geya 😍 | Apni Maa Ke Bager Nahi Reh Sakta 😭 | My New Pet Baby Sheep 🐑,,-,public,-,,76.77642213404421,2529135,148K,5.9K,0,0,6,3
cII9LbQ9Cz4,Swimming Ke Baad Beemaar Ho Geya 😭🤒 | Tabiyat kharab Ho Gai 💔,,-,public,-,,77.03015142695187,1787890,113K,0,0,0,7,3
